Isolate,ospc_newtype
ESI287,Bb_o
ESI292,Bb_o
URI78,Bb_o
UCT92,K
UWI231,E3
UWI224,Hb
K56,K
UNY215,G
UNY200,A
BL082_H1,A
UWI255,Ia
UWI240,M
URI108,Bb_o
URI87,A
URI100,Bb_o
UWI248,Hb
UNY132,Ia
UNY208,Hb
ESI317,Bb_o
URI65,A
URI70,Bb_o
UWI239,O
UNY156,K
UNY143,M
UNY212,K
ESI318,Bb_o
UWI223,K
UWI236,G
UNY159,Ub
ESI295,L
UCT115,Hb
K2,A
UWI247,Hb
UWI252,L
UNY135,Ia
URI107,A
URI112,K
UCT62,K
URI88,Hb
UNY144,Ub
UNY151,Hb
K59,K
URI77,K
ESI305,Bb_o
BL224,K
URI89,A
UCT76,K
UCT109,A
UNY134,N
MR616,G
L113,L
ESI304,L
ESI311,L
K58,A
URI63,A
ESI289,Bb_o
UNY150,Bb_o
UNY145,A
ESI294,Bb_o
UNY158,G
UWI237,E
UWI222,Hb
ESI319,L
UNY213,Fa
UNY206,N
UNY129,A
UWI253,Hb
UWI246,Fa
K21,E
B31-K2,A
K3,A
URI94,K
URI81,N
UNY133,Fa
UWI249,M
URI101,A
URI114,Ia
UNY142,G
UNY157,Bb_o
UWI238,L
URI71,K
URI64,K
ESI316,L
ESI303,Bb_o
UNY209,Ia
UNY201,J_os
UNY214,E3
UWI225,Fb
UWI230,Ub
URI79,Bb_o
K57,A
ESI286,Bb_o
URI86,K
URI93,A
UCT106,N
UCT113,Hb
UWI241,G
UWI254,Hb
ESI314,Bb_o
ESI301,Bb_o
UNY140,E
UNY155,K
ESI299,C
UCT66,A
UCT73,K
URI99,N
URI103,K
URI116,N
UNY131,G
URI17,Bb_o
UWI243,K
UWI256,L
K24,G
UNY139,Bb_o
K6,A
URI91,A
UCT104,K
UWI227,Hb
UWI232,K
UNY148,Hb
ESI291,Bb_o
ESI284,M
ESI28,M
ESI309,J_os
UNY203,G
UNY216,M
UWI228,K
URI61,A
UNY152,Ub
ESI306,Bb_o
ESI313,Bb_o
MC104,Hb
XD1,M
UNY136,E
URI111,A
UCT74,A
UCT69,Bb_o
K1,A
URI119,A
UWI251,Bb_o
UWI244,J_os
UNY211,K
UNY204,M
UWI235,Ub
UWI220,Fb
UCT83,K
UCT96,Bb_o
URI19,Bb_o
UWI245,E
UWI250,Hb
URI118,K
URI97,K
URI68,N
UWI221,Hb
UWI234,L
ESI297,Bb_o
UNY205,Ia
UNY210,Ub
MC105,Hb
UNY218,T
EU14_B89613,Bb_o
ESI312,L
ESI307,Bb_o
ESI26,M
UNY146,K
UNY153,A
URI75,A
URI60,N
UWI229,N
URI105,A
UWI258,B3
UCT110,K
URI90,N
URI85,N
K7,A
UNY138,N
UWI257,B3
UWI242,A
K30,Ia
K25,Ia
UNY217,T
UNY202,N
ESI308,Bb_o
ESI285,Bb_o
ESI290,Bb_o
UNY149,K
UWI233,G
UWI226,O
URI67,Bb_o
URI72,A
UNY154,K
UNY141,Fa
ESI300,L
ESI315,Bb_o
UNY130,K
URI117,K
URI102,A
URI98,K
UWI263,L
UWI276,N
K11,K
B31-5A4,A
UNY197,K
UNY182,K
K60,A
UNY168,Hb
MC123,L
URI219,A
UWI281,T
UNY160,K
UNY175,G
URI53,Ia
URI46,K
K82,K
URI37,Bb_o
URI22,Db
K19,N
EU51_B192411,L
5A18NP1-JBb08-E,A
UNY185,K
UNY190,Bb_o
K16,N
URI38,T
UWI271,Bb_o
UWI264,L
B500,Ia
UMA16,Bb_o
URI49,Fa
K72,K
URI41,A
URI54,G
UNY172,M
UNY167,Ia
UCT30,K
5A18NP1-JBb08-B,A
UMA1,K
UWI279,Fa
K90,Bb_o
BL206,A
UCT31,A
UNY166,N
URI55,E
B331,Ia
UNY199,E
K84,Bb_o
UWI278,Hb
URI24,A
5A18NP1-JBb08-C,A
UMA8,A
B348,E
K17,K
UWI265,K
URI39,A
MC149,O
UNY191,Hb
UNY184,A
URI48,N
K66,A
K73,A
ESI320,C
K69,A
URI47,K
URI52,Ia
UNY174,Bb_o
UNY161,A
UWI280,Hb
5A18NP1-JBb08-D,A
URI122,K
UMA7,N
URI23,K
URI36,Ia
B483,N
K18,K
B418,E
K83,K
UNY183,Ia
UNY196,Ia
UWI277,N
K10,A
UMA10,Bb_o
UNY169,E
K74,A
N40_HP,M
UCT50,E
UNY189,Ia
UWI268,Ia
UMA5,N
URI120,A
UWI282,C
MR641,Hb
UNY176,Bb_o
UNY163,Bb_o
ESI322,L
UMA12,A
URI58,Ia
K76,Hb
BG001_C7,A
UCT29,A
K12,K
UWI275,M
UWI260,F3
UNY181,K
UNY194,K
K89,Ia
UMA2,Fa
5A18NP1-JBb08-A,A
URI33,E
K86,A
EU57_B190413,M
UNY164,Hb
UNY171,Fa
URI57,Bb_o
URI42,A
K64,A
K71,A
UNY179,K
BL546,Hb
UMA15,K
UWI267,Ub
UWI272,A
K15,K
BL522,M
UMA14,A
UNY178,G
K70,K
UWI273,C
UNY187,Bb_o
UNY192,A
UCT121,Bb_o
ESI288a,J_os
UMA3,K
B356,M
UCT32,K
URI43,A
URI56,Ia
UNY170,A
UNY165,G
HB-19,Ia
URI59,G
K62,Hb
UNY195,A
UNY180,K
K13,K
UWI261,A
UMA4,K
BB-8,J_os
URI20,G
UWI269,Hb
B247,K
BL091_B31E2_erpP,A
UNY188,K
UCT51,Ia
K80,C
ESI323,L
UNY162,N
UNY177,K
URI44,K
UCT35,G
UWI283,O
