gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_14_length_17123_cov_270.216_2	2608	2877	-1	89	RelB antitoxin	6.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax	Ax
>NODE_15_length_12029_cov_127.656_1	343	930	-1	195	NikR C terminal nickel binding domain	1.5e-06	A	TASMANIA.A5	A.12688	Hmmer_genes	?Axxx	?Axxx
>NODE_1_length_397251_cov_48.6239_1	201	983	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	?A	?A
>NODE_1_length_397251_cov_48.6239_288	320071	320472	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_1_length_397251_cov_48.6239_39	39701	40984	1	427	PIN domain	5.7e-06	T	TASMANIA.T10	T.58847	Hmmer_genes	xxxxxxxxT	xxxxxxxxT
>NODE_1_length_397251_cov_48.6239_41	43207	43599	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_2_length_237223_cov_51.1531_111	115551	115910	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>NODE_2_length_237223_cov_51.1531_114	119917	120813	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>NODE_2_length_237223_cov_51.1531_64	74176	74439	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_4_length_80954_cov_49.1833_32	29560	31041	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>NODE_6_length_53897_cov_111.692_6	4499	5290	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	1.2e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_6_length_53897_cov_111.692_60	48763	49236	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	5.6e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_8_length_27831_cov_226.045_24	17058	17294	1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	xxxxxxxxxxxxxxxAxxxxxxxxxxxx	xxxxxxxxxxxxxxxAxxxxxxxxxxxx
>NODE_9_length_26664_cov_113.704_2	1590	2804	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
